title,division,department,salary
Operations Coordinator,Academic Innov Strategy & Des,Academic Innov Strategy & Des,59406
Academic Advisor,Academic Advising,Academic Advising,59318
Center Coordinator,Linn County Regional Center,Linn County Regional Center,59291
Custodial Coordinator,Facilities & Security,Facilities & Security,58983
Maintenance Technician,Facilities & Security,Facilities & Security,58940
Academic Advisor,Academic Advising,Academic Advising,58818
Department Assistant,Dean of Students Office,Dean of Students Office,58666
Video Producer,Communications & Marketing,Communications & Marketing,58618
Program Specialist,Workplace Learning Connection,Workplace Learning Connection,58605
Pathway Navigator,Secondary Programs,Secondary Programs,58604
Inventory Technician,Industrial Technologies,Industrial Technologies,58547
Operations Coordinator,K-12 Partnerships,K-12 Partnerships,58541
Instructor,Iowa Medical Classification Center,Secondary Programs,58530
Banquet Lead Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,58511
Operations Coordinator,Facilities & Security,Facilities & Security,58452
Program Specialist,Agricultural Science,Agricultural Science,58447
Coordinator,Student Support,Regional Center at U of I,58327
Pathway Navigator,Skills to Employment,Skills to Employment,58293
Systems Reporting Analyst I,IT Services,IT Services,58257
Operations Coordinator,Facilities & Security,Facilities & Security,58257
Program Specialist,Workplace Learning Connection,Workplace Learning Connection,58205
Systems Reporting Analyst I,IT Services,IT Services,58068
Carpenter,Facilities & Security,Facilities & Security,57994
Operations Coordinator,Allied Health,Allied Health,57889
Operations Coordinator,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,57859
Senior Student Support Specialist,Enrollment Management,Enrollment Management,57850
Program Developer I,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,57788
Application Developer I,IT Services,IT Services,57774
Veteran Services Coordinator,Enrollment Management,Enrollment Management,57747
Electro-Mechanical Technician,Facilities & Security,Facilities & Security,57693
Specialist,Nursing Retention,Nursing Programs,57520
Operations Coordinator,Finance,Finance,57421
Graphic Designer,Communications & Marketing,Communications & Marketing,57391
Instructor,Anamosa State Penitentiary,Secondary Programs,57364
Operations Coordinator,Facilities & Security,Facilities & Security,57174
Instructor/Coordinator,Secondary Programs,Secondary Programs,57163
Instructor,Anamosa State Penitentiary,Secondary Programs,57099
Executive Assistant,Academic Affairs,Academic Affairs,56823
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,56699
Operations Coordinator,K-12 Partnerships,K-12 Partnerships,56683
Senior Director,Facilities & Security,Facilities & Security,56672
Public Safety Officer II,Facilities & Security,Facilities & Security,56527
Financial Aid Advisor I,Enrollment Management,Enrollment Management,56371
Student Life Coordinator,Student Life,Student Life,56371
Financial Aid Analyst,Enrollment Management,Enrollment Management,56371
Financial Aid Advisor I,Enrollment Management,Enrollment Management,56371
Human Resources Generalist,Human Resources,Human Resources,56288
Specialist,Education Technician,Continuing Ed/Training Svcs,55733
Shipping/Receiving Clerk,Facilities & Security,Facilities & Security,55650
Department Coordinator,Human Resources,Human Resources,55488
Coordinator,Human Resources,Human Resources,55480
Academic Advisor,Academic Advising,Academic Advising,55439
Workforce Career Consultant,Skills to Employment,Skills to Employment,55223
Accountant I,Finance,Finance,55222
Lab Technician/Assistant Coordinator,Agricultural Science,Agricultural Science,55199
Electro-Mechanical Technician,Facilities & Security,Facilities & Security,55118
Electro-Mechanical Technician,Facilities & Security,Facilities & Security,55040
Coordinator,Facilities & Security,Facilities & Security,54958
Program Specialist,Human Resources,Human Resources,54958
System Support Coordinator,Academic Affairs,Academic Affairs,54958
Alumni Coordinator,Foundation/Development,Foundation/Development,54871
Purchasing Specialist,Bookstore,Bookstore,54828
Academic Advisor,Academic Advising,Academic Advising,54774
Academic Advisor,Academic Advising,Academic Advising,54487
Program Advisor,TRIO,Admissions,54379
Program Advisor,TRIO,Admissions,54375
ELA Advisor,International Programs,International Programs,54147
Program Specialist,International Programs,International Programs,54126
Records Specialist,Distance Learning,Distance Learning,53939
Library Technical Specialist,Library Services,Library Services,53883
Pathway Navigator,Student Equity Inclusion & Sup,Student Equity Inclusion & Sup,53838
Equity in Student Success Coach,Student Equity Inclusion & Sup,Student Equity Inclusion & Sup,53838
Coordinator,Inst Effectiveness/Research,Inst Effectiveness/Research,53712
Coordinator,Student Support,Dean of Students Office,53693
Graphic Designer,Communications & Marketing,Communications & Marketing,53522
Small Meetings Coordinator,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,53449
Custodian,Facilities & Security,Facilities & Security,53399
Campus Security Coordinator,Facilities & Security,Facilities & Security,53304
Center Coordinator,Jones County Regional Center,Jones County Regional Center,53237
Department Assistant,Hospitality Arts,Hospitality Arts,53219
Coordinator,Student Support,Linn County Regional Center,53133
Accountant I,Finance,Finance,53082
Department Coordinator,Industrial Technologies,Industrial Technologies,53039
Program Advisor,TRIO,Admissions,53039
Student Center Coordinator,Student Life,Student Life,52898
Department Assistant,Athletics,Athletics,52815
Program Specialist,Workplace Learning Connection,Workplace Learning Connection,52774
Academic Advisor,Academic Advising,Academic Advising,52774
Academic Coach,Distance Learning,Distance Learning,52774
Academic Coach,Distance Learning,Distance Learning,52774
Program Advisor,TRIO,Student Equity Inclusion & Sup,52774
Program Advisor,TRIO,Student Equity Inclusion & Sup,52735
Workforce Career Consultant,Skills to Employment,Skills to Employment,52735
Program Specialist,K-12 Partnerships,K-12 Partnerships,52708
Public Safety Officer II,Facilities & Security,Facilities & Security,52693
Shipping/Receiving Clerk,Facilities & Security,Facilities & Security,52673
Academic Advisor,Academic Advising,Academic Advising,52629
Academic Advisor,Academic Advising,Academic Advising,52629
Program Advisor,TRIO - IC,Student Equity Inclusion & Sup,52629
Technician,EagleTech,EagleTech,52567
Program Advisor,TRIO,Admissions,52447
Program Advisor,TRIO,Admissions,52325
Department Coordinator,Allied Health,Allied Health,52304
Public Safety Officer II,Facilities & Security,Facilities & Security,52212
Advisor - Iowa City,Dean of Students Office,Dean of Students Office,52054
Instructor,Secondary Programs,Secondary Programs,51661
Library Technical Specialist,Library Services,Library Services,51502
Academic Advisor,Academic Advising,Academic Advising,51423
Center Coordinator,Vinton Center,Vinton Center,51344
Specialist,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,51297
Electro-Mechanical Technician,Facilities & Security,Facilities & Security,51072
Public Safety Officer II,Facilities & Security,Facilities & Security,50857
Academic Advisor,Academic Advising,Academic Advising,50661
Department Assistant-Anamosa,Secondary Programs,Secondary Programs,50404
Department Assistant,Distance Learning,Distance Learning,50400
Department Assistant,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,50392
Specialist,Sim/Av Lab,Continuing Ed/Training Svcs,50241
Department Assistant,Secondary Programs,Secondary Programs,50239
Academic Advisor,Academic Advising,Academic Advising,50146
Electro-Mechanical Technician,Facilities & Security,Facilities & Security,49951
Center Coordinator,Williamsburg Center,Williamsburg Center,49821
Student Support Specialist II,Student Services,Student Services,49715
Student Support Specialist II,Enrollment Management,Enrollment Management,49696
Public Safety Officer II,Facilities & Security,Facilities & Security,49677
Public Safety Officer II,Facilities & Security,Facilities & Security,49672
Bookstore Specialist,Bookstore,Bookstore,49381
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,49225
Greenhouse Specialist,Agricultural Science,Agricultural Science,49084
Public Safety Dispatcher,Facilities & Security,Facilities & Security,49066
Program Developer II,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,49003
Lead Technician,Arts/Humanities,Arts/Humanities,48753
Department Assistant,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,48614
Coordinator,Iowa City Cafe,Iowa City Campus,48474
Hotel Chief Engineer,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,48463
Controls Engineer,Facilities & Security,Facilities & Security,48370
Caf General Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,48159
Controls Engineer,Facilities & Security,Facilities & Security,48154
Department Assistant,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,48152
Records Specialist II,Enrollment Management,Enrollment Management,48104
Center Coordinator,Washington Center,Washington Center,48032
Department Assistant,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,48007
Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,47974
Academic Advisor,Academic Advising,Academic Advising,47934
Department Assistant,Secondary Programs,Secondary Programs,47933
Asset Specialist,Facilities & Security,Facilities & Security,47906
Reproduction Equipment Specialist,Communications & Marketing,Communications & Marketing,47892
Department Assistant-SIM,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,47811
Program Developer I,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,47301
Laboratory Operations Coordinator,Math/Science,Math/Science,47269
Program Developer I,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,47268
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,47266
Department Assistant,Nursing Programs,Nursing Programs,46909
Department Assistant,Industrial Technologies,Industrial Technologies,46810
Custodian,Facilities & Security,Facilities & Security,46720
Marketing Services Specialist II,Communications & Marketing,Communications & Marketing,46716
Asst Rest/Bev Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,46690
Department Assistant,Nursing Programs,Nursing Programs,46655
Assistant Coach,Softball,Athletics,46420
Public Safety Dispatcher,Facilities & Security,Facilities & Security,46298
Restaurant Supervisor,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,46141
Shipping/Receiving Clerk,Bookstore,Bookstore,46046
Night Audit Supervisor,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,45984
Program Specialist/195-Day,Workplace Learning Connection,Workplace Learning Connection,45703
Department Assistant,Business and Information Tech,Business and Information Tech,45625
Reproduction Equipment Specialist,Communications & Marketing,Communications & Marketing,45577
Student Support Specialist I,Enrollment Management,Enrollment Management,45310
Coordinator,Human Resources,Human Resources,45181
Workforce Career Consultant,Skills to Employment,Skills to Employment,45100
Athletic Department Support Staff,Athletics,Athletics,44775
Department Assistant,Social Sciences,Social Sciences,44606
Student Support Specialist II,Student Services,Student Services,44538
Student Support Specialist I,Enrollment Management,Enrollment Management,44476
Server Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,44296
Department Assistant,Skills to Employment,Skills to Employment,44285
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,44267
Assistant Coach,Volleyball,Athletics,44253
Program Specialist/195-Day,Workplace Learning Connection,Workplace Learning Connection,44201
Department Assistant,Library Services,Library Services,44123
Apple Technician,EagleTech,EagleTech,44120
Grounds Maintenance Worker,Facilities & Security,Facilities & Security,44096
Catering Sales Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,44068
Assistant Coach,Men's Basketball,Athletics,44024
Dean,Agricultural Science,Agricultural Science,43957
Custodian,Facilities & Security,Facilities & Security,43902
Assistant Coach,Women's Basketball,Athletics,43832
Grounds Maintenance Worker,Facilities & Security,Facilities & Security,43810
Custodian,Facilities & Security,Facilities & Security,43760
Assistant Coach,Baseball,Athletics,43622
Department Assistant,Learning Services,Learning Services,43601
Custodian,Facilities & Security,Facilities & Security,43590
Grounds Maintenance Worker,Facilities & Security,Facilities & Security,43360
Assistant Banquet Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,43325
Department Assistant,Industrial Technologies,Industrial Technologies,43202
Financial Aid Specialist I,Enrollment Management,Enrollment Management,43191
Custodian,Facilities & Security,Facilities & Security,43044
Coordinator,Facilities & Security,Facilities & Security,42988
Department Assistant,Dean of Students Office,Dean of Students Office,42973
Custodian,Facilities & Security,Facilities & Security,42971
Program Specialist/195-Day,Workplace Learning Connection,Workplace Learning Connection,42942
Instructor,Anamosa State Penitentiary,Secondary Programs,42874
Custodian,Facilities & Security,Facilities & Security,42807
Banquet Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,42772
Course Materials Specialist,Bookstore,Bookstore,42748
Assistant Professor,ELA,International Programs,42643
Public Safety Dispatcher,Facilities & Security,Facilities & Security,42553
Custodian,Facilities & Security,Facilities & Security,42507
Department Assistant,Communication/English/Media,Communication/English/Media,42484
Lead IEC Technician,Finance,Finance,42341
Department Assistant,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,42268
Program Specialist/195-Day,Workplace Learning Connection,Workplace Learning Connection,42029
Banquet Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,41973
Operations Coordinator,Social Sciences,Social Sciences,41942
Custodian,Facilities & Security,Facilities & Security,41700
Retiree,Continuing Education and Training,Continuing Education and Training,41615
Custodian,Facilities & Security,Facilities & Security,41608
Office Assistant,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,41370
Custodian,Facilities & Security,Facilities & Security,41356
Grounds Maintenance Worker,Facilities & Security,Facilities & Security,41170
Senior Student Supoort Spec,Dean of Students Office,Dean of Students Office,41101
Workforce Career Consultant,Skills to Employment,Skills to Employment,41099
Custodian,Facilities & Security,Facilities & Security,40896
Custodian,Facilities & Security,Facilities & Security,40762
Accountant I,Finance,Finance,40623
Cafe Office Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,40621
Custodian,Facilities & Security,Facilities & Security,40523
Department Assistant,Iowa City Campus,Iowa City Campus,40494
College/Career Transition Counselor II,Admissions,Admissions,39990
Custodian,Facilities & Security,Facilities & Security,39842
Custodian,Facilities & Security,Facilities & Security,39707
Custodian,Facilities & Security,Facilities & Security,39689
Shipping/Receiving Clerk,Facilities & Security,Facilities & Security,39591
Custodian,Facilities & Security,Facilities & Security,39511
Guest Service Supervisor,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,39240
Academic Advisor,Academic Advising,Academic Advising,39202
Banquet Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,39053
Tutor,Instruction,Instruction,38779
Custodian,Facilities & Security,Facilities & Security,38753
Custodian,Facilities & Security,Facilities & Security,38512
Student Support Specialist,Learning Services,Learning Services,38503
Bakery Lead Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,38487
Custodian,Facilities & Security,Facilities & Security,38385
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,37902
Equity in Student Success-Iowa City,Student Equity Inclusion & Sup,Student Equity Inclusion & Sup,37767
Records Specialist,Enrollment Management,Enrollment Management,37610
Test Center Associate,Learning Services,Learning Services,37524
Career Coach,Dean of Students Office,Dean of Students Office,37363
Department Assistant,Allied Health,Allied Health,36995
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,36975
Academic Advisor,Academic Advising,Academic Advising,36870
Guest Service Supervisor,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,36611
Instructor,Counselor,Dean of Students Office,36416
Esl Instructor,Secondary Programs,Secondary Programs,36335
Office Assistant,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,36208
SSI Tutor,International Programs,International Programs,36160
Librarian,Library Services,Library Services,35821
Academic Advisor,Academic Advising,Academic Advising,35674
Senior Accountant,Finance,Finance,35540
Instructor,Secondary Programs,Secondary Programs,35527
Lead Technician,Arts/Humanities,Arts/Humanities,35298
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,34920
Program Specialist/195-Day,Workplace Learning Connection,Workplace Learning Connection,34832
Communique Staff,Social Sciences,Social Sciences,34702
Library Associate,Library Services,Library Services,34509
Test Center Associate - LREC,Linn County Regional Center,Linn County Regional Center,34384
Custodian,Facilities & Security,Facilities & Security,34230
Marketing Coordinator,Communications & Marketing,Communications & Marketing,33950
Lead Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,33857
Esl Instructor,Secondary Programs,Secondary Programs,33656
Financial Aid Advisor I,Enrollment Management,Enrollment Management,33531
Pathway Navigator,Skills to Employment,Skills to Employment,33196
Room INSPECTOR,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,33030
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,32594
SSI Tutor,International Programs,International Programs,32512
Office Coordinator,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,32437
Overnight Guest Services Rep,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,32385
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,31818
Bakery Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,31688
Tutor,Instruction,Instruction,31555
IELCE Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,31546
Public Safety Officer,Facilities & Security,Facilities & Security,31377
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,31298
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,31297
Custodian,Facilities & Security,Facilities & Security,31273
Equity in Student Success Coach,Student Equity Inclusion & Sup,Student Equity Inclusion & Sup,31242
Academic Advisor,Academic Advising,Academic Advising,31207
Esl Instructor,Secondary Programs,Secondary Programs,31150
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,31055
Store Room LEAD Clerk,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,30878
Electro Mechanical Technician I,Facilities & Security,Facilities & Security,30866
Custodian,Facilities & Security,Facilities & Security,30691
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,30605
Operations Specialist I,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,30555
Banquet Line Cook II,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,30400
Department Assistant,Nursing Programs,Nursing Programs,30074
Banquet Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,30001
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,29996
Assistant Banquet Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,29980
Program Developer I,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,29758
Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,29703
Equity in Student Success Coach,Student Equity Inclusion & Sup,Student Equity Inclusion & Sup,29699
Librarian,Library Services,Library Services,29481
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,29408
Professor,Mathematics,Math/Science,29113
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,29053
Guest Service Supervisor,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,28974
Custodian,Facilities & Security,Facilities & Security,28912
Adjunct - ESL,International Programs,International Programs,28839
SSI Tutor,International Programs,International Programs,28726
Librarian,Library Services,Library Services,28467
Esl Instructor,Secondary Programs,Secondary Programs,28359
Coordinator,Human Resources,Human Resources,28023
Program Coordinator,Workplace Learning Connection,Workplace Learning Connection,27964
Marketing Specialist,Communications & Marketing,Communications & Marketing,27845
Telecom Technician,IT Services,IT Services,27647
Center Coordinator,Regional Center at U of I,Regional Center at U of I,27464
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,27461
Public Safety Officer II,Facilities & Security,Facilities & Security,27311
Program Assistant,Learning Services,Learning Services,27140
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,27085
Adjunct - Distance Learning,Distance Learning,Distance Learning,26884
CC in HS Administration,College Credit in High School,College Credit in High School,26860
CC in HS Administration,College Credit in High School,College Credit in High School,26834
Department Assistant,Allied Health,Allied Health,26822
Cafe Lead Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,26822
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,26810
Emergency Management,Facilities & Security,Facilities & Security,26758
Public Space Lead,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,26565
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,26527
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,26479
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,26373
EMS Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,26297
Student Support Specialist II,Enrollment Management,Enrollment Management,26240
AV Technician,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,26153
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,26121
Adult Literary Assistant,Secondary Programs,Secondary Programs,26119
Adjunct - Automotive Collision Repair,Industrial Technologies,Industrial Technologies,26101
PT Guest Service Supervisor,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,26098
Adjunct - Social Sciences,Social Sciences,Social Sciences,26032
Laundry Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,25756
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,25686
Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,25643
Assistant Professor,Economics,Social Sciences,25527
Program Developer I,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,25389
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,25202
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,25110
Program Director,TRIO,Admissions,24962
Adjunct - Health Sciences,Allied Health Programs,Allied Health,24540
Public Safety Dispatcher,Facilities & Security,Facilities & Security,24501
Adjunct - English Education,Communication/English/Media,Communication/English/Media,24448
Adjunct - ESL,International Programs,International Programs,24370
Department Assistant,Secondary Programs,Secondary Programs,24337
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,24299
ELA Tutor,International Programs,International Programs,24274
Retiree,Facilities,Facilities,24236
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,24076
Bakery Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,23937
Financial Aid Specialist I,Enrollment Management,Enrollment Management,23837
Adjunct - Office Admin/Office Assistant,Business and Information Tech,Business and Information Tech,23829
Adjunct - Medical Assisting,Allied Health,Allied Health,23792
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,23768
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,23682
Adjunct - Math/Science,Math/Science,Math/Science,23680
Office Assistant,Academic Affairs,Academic Affairs,23443
Operations Specialist II,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,23397
Custodian,Facilities & Security,Facilities & Security,23318
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,23256
SSI Tutor,International Programs,International Programs,23253
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,23162
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,23040
Arts & Humanities (Instructional Overload-Ft Faculty),Arts/Humanities,Arts/Humanities,23018
Adjunct - English Education,Communication/English/Media,Communication/English/Media,23018
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,23018
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,22995
JH -Arts/Science Onsite Bus/Ed/Criminal,Iowa City Campus,Iowa City Campus,22968
Adjunct - Social Sciences,Social Sciences,Social Sciences,22968
Marketing Specialist,Communications & Marketing,Communications & Marketing,22890
Pt Greeter,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,22876
Lead Maintenance Tech,Facilities & Security,Facilities & Security,22858
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,22814
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,22738
Guest Service Supervisor,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,22657
Caf Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,22602
Adjunct - Dental Hygiene,Allied Health,Allied Health,22556
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,22474
Adjunct - Interior Design,Business and Information Tech,Business and Information Tech,22474
Cafe Lead Cook II,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,22449
SSI Tutor,International Programs,International Programs,22398
Adjunct - Dental Lab Technology,Allied Health,Allied Health,22374
Department Assistant-IMCC,Secondary Programs,Secondary Programs,22222
Adjunct - Monticello Center,Jones County Regional Center,Jones County Regional Center,22214
Test Center Associate,Learning Services,Learning Services,22196
Tca Line Cook II,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,22076
Program Coordinator,Workplace Learning Connection,Workplace Learning Connection,22032
Department Coordinator,Industrial Technologies,Industrial Technologies,22000
Operations Specialist I,Secondary Programs,Secondary Programs,21946
Adjunct - Criminal Justice,Social Sciences,Social Sciences,21860
Instructor,Secondary Programs,Secondary Programs,21830
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,21762
Public Safety Dispatcher,Facilities & Security,Facilities & Security,21758
Banquet Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,21721
Bakery Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,21692
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,21672
Lab Associate,IT Services,IT Services,21626
Caf Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,21602
Program Coordinator,Workplace Learning Connection,Workplace Learning Connection,21452
Pt Server-Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,21355
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,21297
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,21263
Esl Instructor,Secondary Programs,Secondary Programs,21206
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,21114
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,21100
Instructor,Secondary Programs,Secondary Programs,21060
Adj -CBE Project for Bus & IT,Business and Information Tech,Business and Information Tech,21048
Instructor,Secondary Programs,Secondary Programs,21040
KICK Camp Manager,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,21004
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,20982
Career Coach,Dean of Students Office,Dean of Students Office,20939
Department Assistant-IMCC,Secondary Programs,Secondary Programs,20920
Program Specialist,Student Equity Inclusion & Sup,Student Equity Inclusion & Sup,20900
Esl Instructor,Secondary Programs,Secondary Programs,20895
Custodian,Facilities & Security,Facilities & Security,20883
Temp - Admissions,Admissions,Admissions,20716
Adjunct - English Education,Communication/English/Media,Communication/English/Media,20530
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,20466
Raptor Project Coordinator,Agricultural Science,Agricultural Science,20444
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,20359
Instructor,Secondary Programs,Secondary Programs,20231
Asst Rest/Bev Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,20223
Lead Student Support Spec,Enrollment Management,Enrollment Management,20191
Admissions Advisor,Admissions,Admissions,20118
Esl Instructor,Secondary Programs,Secondary Programs,19925
Banquet Captain,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,19906
ELA Tutor,International Programs,International Programs,19723
Lab Technician,Math/Science,Math/Science,19658
SSI Tutor,International Programs,International Programs,19507
JH-Industrial Maintenance/Energy,Iowa City Campus,Iowa City Campus,19466
Adjunct - English Education,Communication/English/Media,Communication/English/Media,19424
Program Coordinator,Workplace Learning Connection,Workplace Learning Connection,19413
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,19381
Adjunct - JREC,Jones County Regional Center,Jones County Regional Center,19350
Adjunct - English Education,Communication/English/Media,Communication/English/Media,19321
Adjunct - Distance Learning,Distance Learning,Distance Learning,19250
IA -Arts/Science Onsite Bus/Ed/Criminal,Williamsburg Center,Williamsburg Center,19250
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,19250
Adjunct - Business Education,Business and Information Tech,Business and Information Tech,19250
Accelerated LNCR -Adjunct,Linn County Regional Center,Linn County Regional Center,19226
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,19200
JH -Arts/Science Onsite Bus/Ed/Criminal,Iowa City Campus,Iowa City Campus,19200
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,19152
Adjunct - English Education,Communication/English/Media,Communication/English/Media,19152
PT Banquet Captain,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,19135
Adjunct - English Education,Communication/English/Media,Communication/English/Media,18930
